,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
60,2024-04-18,162.28184369266518,156.00663607084866,167.61877110799506,162.28184369266518,162.28184369266518,-0.2819251026890578,-0.2819251026890578,-0.2819251026890578,-0.2819251026890578,-0.2819251026890578,-0.2819251026890578,0.0,0.0,0.0,161.99991858997612
61,2024-04-19,162.54360069154663,156.4849000251482,168.35202064377165,162.54360069154663,162.54360069154663,0.08475579025922368,0.08475579025922368,0.08475579025922368,0.08475579025922368,0.08475579025922368,0.08475579025922368,0.0,0.0,0.0,162.62835648180587
62,2024-04-22,163.3288716881909,157.56544281449067,169.59981672037705,163.3288716881909,163.3288716881909,0.23350751599344058,0.23350751599344058,0.23350751599344058,0.23350751599344058,0.23350751599344058,0.23350751599344058,0.0,0.0,0.0,163.56237920418434
63,2024-04-23,163.59062868707235,157.57556040239032,169.26770478903518,163.59062868707235,163.59062868707235,-0.21071886519696142,-0.21071886519696142,-0.21071886519696142,-0.21071886519696142,-0.21071886519696142,-0.21071886519696142,0.0,0.0,0.0,163.3799098218754
64,2024-04-24,163.85238564741837,157.53311857403116,169.36762354314766,163.85238564741837,163.85238564741837,-0.5567098169736263,-0.5567098169736263,-0.5567098169736263,-0.5567098169736263,-0.5567098169736263,-0.5567098169736263,0.0,0.0,0.0,163.29567583044474
65,2024-04-25,164.11414260776442,157.75601432856857,169.1080538110466,164.11414260776442,164.11414260776442,-0.28192510269688564,-0.28192510269688564,-0.28192510269688564,-0.28192510269688564,-0.28192510269688564,-0.28192510269688564,0.0,0.0,0.0,163.83221750506755
66,2024-04-26,164.3758995681104,158.32728847396083,169.94012576129742,164.3758995681104,164.3758995681104,0.08475579026347745,0.08475579026347745,0.08475579026347745,0.08475579026347745,0.08475579026347745,0.08475579026347745,0.0,0.0,0.0,164.46065535837388
67,2024-04-29,165.1611704491485,159.39517516673382,171.46305342303955,165.1611704491485,165.1611704491485,0.23350751598548541,0.23350751598548541,0.23350751598548541,0.23350751598548541,0.23350751598548541,0.23350751598548541,0.0,0.0,0.0,165.39467796513398
68,2024-04-30,165.42292740949452,159.51083603535534,171.07522529864588,165.42292740949452,165.42292740949452,-0.21071886519564553,-0.21071886519564553,-0.21071886519564553,-0.21071886519564553,-0.21071886519564553,-0.21071886519564553,0.0,0.0,0.0,165.21220854429887
69,2024-05-02,165.9464413301866,160.051753823377,171.39234497986294,165.9464413301866,165.9464413301866,-0.28192510268873683,-0.28192510268873683,-0.28192510268873683,-0.28192510268873683,-0.28192510268873683,-0.28192510268873683,0.0,0.0,0.0,165.66451622749784
70,2024-05-03,166.20819829053258,160.7765097070937,172.26730662181112,166.20819829053258,166.20819829053258,0.08475579025948381,0.08475579025948381,0.08475579025948381,0.08475579025948381,0.08475579025948381,0.08475579025948381,0.0,0.0,0.0,166.29295408079207
71,2024-05-06,166.99346917157067,161.34191466280626,173.23418995745973,166.99346917157067,166.99346917157067,0.23350751598943745,0.23350751598943745,0.23350751598943745,0.23350751598943745,0.23350751598943745,0.23350751598943745,0.0,0.0,0.0,167.2269766875601
72,2024-05-07,167.25522613317025,160.98854498982104,173.34853203629802,167.25522613317025,167.25522613317025,-0.2107188652004199,-0.2107188652004199,-0.2107188652004199,-0.2107188652004199,-0.2107188652004199,-0.2107188652004199,0.0,0.0,0.0,167.04450726796983
73,2024-05-08,167.51698309476984,160.7353230223859,172.93501914385027,167.51698309476984,167.51698309476984,-0.5567098169782051,-0.5567098169782051,-0.5567098169782051,-0.5567098169782051,-0.5567098169782051,-0.5567098169782051,0.0,0.0,0.0,166.96027327779163
74,2024-05-09,167.77874005636943,161.64721553355275,173.65792816238803,167.77874005636943,167.77874005636943,-0.2819251026927289,-0.2819251026927289,-0.2819251026927289,-0.2819251026927289,-0.2819251026927289,-0.2819251026927289,0.0,0.0,0.0,167.4968149536767
75,2024-05-10,168.04049701796902,161.93878951853878,174.08152591088432,168.04049701796902,168.04049701796902,0.08475579026373757,0.08475579026373757,0.08475579026373757,0.08475579026373757,0.08475579026373757,0.08475579026373757,0.0,0.0,0.0,168.12525280823274
76,2024-05-13,168.82576790276778,162.85556910377403,175.3520653696583,168.82576790276778,168.82576790276778,0.2335075159846409,0.2335075159846409,0.2335075159846409,0.2335075159846409,0.2335075159846409,0.2335075159846409,0.0,0.0,0.0,169.0592754187524
77,2024-05-14,169.08752486436737,163.06398806433901,174.62441129246474,169.08752486436737,169.08752486436737,-0.2107188651927752,-0.2107188651927752,-0.2107188651927752,-0.2107188651927752,-0.2107188651927752,-0.2107188651927752,0.0,0.0,0.0,168.8768059991746
78,2024-05-15,169.34928182596693,163.00045648261914,174.63209640964897,169.34928182596693,169.34928182596693,-0.5567098169736796,-0.5567098169736796,-0.5567098169736796,-0.5567098169736796,-0.5567098169736796,-0.5567098169736796,0.0,0.0,0.0,168.79257200899323
79,2024-05-16,169.6110387875665,163.44405685529196,175.68570361941607,169.6110387875665,169.6110387875665,-0.281925102688416,-0.281925102688416,-0.281925102688416,-0.281925102688416,-0.281925102688416,-0.281925102688416,0.0,0.0,0.0,169.3291136848781
80,2024-05-17,169.87279574563544,164.22364668370693,175.93053026102325,169.87279574563544,169.87279574563544,0.08475579026799157,0.08475579026799157,0.08475579026799157,0.08475579026799157,0.08475579026799157,0.08475579026799157,0.0,0.0,0.0,169.95755153590343
81,2024-05-18,170.13455270370437,166.2841436388854,177.69808872976776,170.13455270370437,170.13455270370437,2.0030069329751092,2.0030069329751092,2.0030069329751092,2.0030069329751092,2.0030069329751092,2.0030069329751092,0.0,0.0,0.0,172.13755963667947
82,2024-05-21,170.9198235779111,164.9387417672797,176.79117778633633,170.9198235779111,170.9198235779111,-0.21071886519754957,-0.21071886519754957,-0.21071886519754957,-0.21071886519754957,-0.21071886519754957,-0.21071886519754957,0.0,0.0,0.0,170.70910471271355
